question,answer,explanation
What is the supreme law of the land?,the Constitution,"The U.S. Constitution is the highest law. All other laws must follow it, and no law can go against it."
What does the Constitution do?,"▪ sets up the government
▪ defines the government
▪ protects basic rights of Americans","The Constitution explains how the government works, limits what it can do, and guarantees freedoms to the people."
The idea of self-government is in the first three words of the Constitution. What are these words?,We the People,"These words mean that the power of the government comes from the people, not from a king or ruler."
What is an amendment?,"▪ a change (to the Constitution)
▪ an addition (to the Constitution)",Amendments update or improve the Constitution. They allow the government to adapt over time.
What do we call the first ten amendments to the Constitution?,the Bill of Rights,"These ten amendments protect important freedoms, such as free speech, religion, and fair trials."
What is one right or freedom from the First Amendment?,"▪ speech
▪ religion
▪ assembly
▪ press
▪ petition the government","The First Amendment protects people’s ability to express themselves, practice religion freely, gather together, publish ideas, and ask the government to make changes."
How many amendments does the Constitution have?,twenty-seven (27),"Since 1787, the Constitution has been changed 27 times to reflect the country’s growth and new ideas."
What did the Declaration of Independence do?,"▪ announced our independence (from Great Britain)
▪ declared our independence (from Great Britain)
▪ said that the United States is free (from Great Britain)","In 1776, the colonies broke away from British rule and declared themselves an independent nation."
What are two rights in the Declaration of Independence?,"▪ life
▪ liberty
▪ pursuit of happiness","These rights are called “unalienable,” meaning no one can take them away because they are given to all people."
What is freedom of religion?,"You can practice any religion, or not practice a religion.",The government cannot force religion on anyone. People are free to follow their beliefs or choose not to follow any.
What is the economic system in the United States?*,"▪ capitalist economy
▪ market economy","In this system, people and businesses own property and make economic choices, though the government also has some rules."
What is the “rule of law”?,"▪ Everyone must follow the law.
▪ Leaders must obey the law.
▪ Government must obey the law.
▪ No one is above the law.","The law applies to everyone equally, including leaders. No one is above the law."
Name one branch or part of the government.,"▪ Congress
▪ legislative
▪ President
▪ executive
▪ the courts
▪ judicial","The U.S. government has three branches—legislative (makes laws), executive (enforces laws), and judicial (interprets laws)."
What stops one branch of government from becoming too powerful?,"▪ checks and balances
▪ separation of powers",Each branch of government can limit the power of the others so that no one branch becomes too powerful.
Who is in charge of the executive branch?,the President,The President leads the executive branch and is responsible for enforcing laws.
Who makes federal laws?,"▪ Congress
▪ Senate and House (of Representatives)
▪ (U.S. or national) legislature",The Senate and House of Representatives together make federal laws.
What are the two parts of the U.S. Congress?,the Senate and House (of Representatives),Congress is divided into two parts to balance power between large and small states.
How many U.S. Senators are there?,one hundred (100),"There are two U.S. Senators from each state, making 100 total."
We elect a U.S. Senator for how many years?,six (6),Senators serve six-year terms to provide stability in government.
The House of Representatives has how many voting members?,four hundred thirty-five (435),"The number of Representatives is based on state population, totaling 435."
We elect a U.S. Representative for how many years?,two (2),Representatives serve shorter terms so they stay accountable to voters.
Who does a U.S. Senator represent?,all people of the state,"Senators represent everyone in their entire state, not just one area."
